,course,url,lat,lon
90,Oaks Palms Course at Hacienda Hills Golf & Country Club,missing,28.9453617,-81.9631053
91,Robins Ridge Golf Course,missing,39.9364731,-81.4450552
92,Maumee Bay State Park Golf Course,missing,41.6822659,-83.3673658
93,East Course at Orangebrook Country Club,missing,26.006221,-80.173772
94,Bluffs,missing,39.0064012,-96.8606878
95,Brabenders South Woods Golf Course,missing,41.9855224,-80.1184316
96,Middle Back Course at Rolling Green Golf Club,missing,34.917812,-82.5844061
97,Golf Club at Ballantyne,http://www.ballantyneresort.com,35.0560398,-80.8472525
98,Edgewater Golf Club,missing,34.6374431,-80.86738679999999
99,Jackson Valley Golf Club,missing,41.91450880000001,-79.2629864
100,Beacon Woods Golf Club,http://www.beaconwoodsgolf.com,28.3389818,-82.6820443
101,Belmont Country Club,missing,39.069146,-77.49099199999999
102,Eighteen Course at White Birch Golf Course,missing,40.8105213,-76.0304111
103,Backbreaker Mindbreaker Course at Silver Lakes,missing,34.7402853,-117.3257169
104,Loomis Trail Course at Semiahmoo Golf & Country Club,http://www.semiahmoo.com,48.9546015,-122.7145556
105,Country Club of Mount Dora,missing,28.8282368,-81.6246867
106,Flint Golf Club,missing,42.9952681,-83.66824729999999
107,Valleywood Golf Course,missing,44.7719514,-93.1590011
108,Mountain Canyon Course at Superior National Golf Course,http://www.superiornational.com,47.636896,-90.71238699999999
109,Encanto Park Golf Course,missing,33.4779347,-112.0926642
110,Harborside Blue Red Course at Longboat Key Club & Resort,missing,27.3343326,-82.5894508
111,Glen Lakes Municipal Golf Course,missing,33.5538401,-112.1770949
112,Deer Ridge Golf Club,missing,37.914586,-121.739652
113,Broadview Golf Course,missing,40.0078797,-82.67467169999999
114,Minnesota Valley Country Club,http://www.mvccgolf.com,44.7930721,-93.3625879
115,Little Links Course at Wilderness Woods Golf Course,http://www.golfwildernesswoods.com,43.5900172,-89.7829916
116,missing,missing,38.8039274,-77.0622927
117,Devils Thumb Golf Club,http://www.deltagolf.org,38.7951097,-108.0659518
118,Land Harbor Golf Club,missing,36.042538,-81.90182
119,Oswego Country Club,missing,43.4383782,-76.4915721
120,Witch   Witch Course at Deerfield Country Club,missing,43.24846400000001,-77.86000410000001
121,Mountainview Course at Lakeview Resort,http://www.lakeviewresort.com,39.6663248,-79.8547272
122,Canyon Breeze Golf Course,missing,38.2803997,-112.6030076
123,Hazen Golf Club,missing,47.2989034,-101.5926016
124,Executive Course at Heather Highlands Golf Club,missing,42.77880690000001,-83.5177016
125,The Canyons Course at Bighorn Golf Club,http://www.bighorngolf.com,33.679125,-116.4090239
126,Mill Creek Country Club,http://www.mcgolfresort.com,47.8577291,-122.2058724
127,The Olde Course at Polson Country Club,missing,47.69320039999999,-114.1631275
128,Eagle Valley Golf Course,missing,39.1938421,-119.7095445
129,San Jacinto College Golf Course,missing,29.6536356,-95.1144039
130,Eagles Mere Country Club,missing,41.409818,-76.594789
131,Poinciana Country Club,missing,26.624311,-80.153847
132,Cobblestone Creek Country Club,http://www.cobblestonecreekcc.com,43.0150259,-77.41125
133,Nansemond River Golf Club,http://www.nansemondrivergolfclub.com,36.7823015,-76.57149710000002
134,Conquistador Course at Hilton Tucson El Conquistador Golf & Tennis Resort,http://hiltonelconquistador.com,32.3861132,-110.956662
135,Hobbits Glenn Golf Club,missing,39.2256524,-76.90012109999999
136,18-Hole Regulation Course at Santa Teresa Golf Club,missing,37.2239608,-121.7794511
137,Pinetop Lakes Golf & Country Club,missing,34.1130112,-109.9054315
138,Lakeshore Country Club,missing,43.2625313,-77.62354130000001
139,White Blue Course at Hamilton Elks Country Club,missing,41.477075,-97.391824
140,Tioga Golf & Country Club,missing,42.013876,-76.37445699999999
141,Woodstock Club,missing,39.8224083,-86.1870557
142,Aberdeen Golf & Country Club National,missing,38.533695,-90.6191509
143,Red Course at Highland Park Golf Course,missing,33.5088188,-86.775857
144,Cameron Course at Buffalo Hill Golf Club,missing,48.2133764,-114.3156877
145,Shade Mountain Golf Club,missing,40.7764753,-77.04608379999999
146,White Blue Course at Nevele Grand Resort and Country Club,http://www.nevele.com,41.6983485,-74.4019488
147,Red White Course at Town & Country RV Resort & Golf Club,missing,,
148,Championship International Course at International World Tour Golf Links,http://www.worldtourmb.com,33.7372604,-78.90930879999999
149,Roseburg Country Club,missing,43.2705416,-123.4085523
150,Studio City Golf Course,missing,34.1457327,-118.4070618
151,Westmoreland Golf Club,missing,43.085296,-75.42514899999999
